PostalCode;AdmArea;District;Address;X_WGS84;Y_WGS84
124498;Зеленоградский административный округ;район Матушкино;город Зеленоград, корпус 426А;37,205553;55,994924
125499;Северный административный округ;Головинский район;улица Лавочкина, дом 4;37,503745;55,849606
121500;Западный административный округ;район Кунцево;2-я Новорублёвская улица, дом 1;37,357638;55,785121
119501;Западный административный округ;район Очаково-Матвеевское;Веерная улица, дом 3, корпус 3;37,478451;55,707484
125502;Северный административный округ;район Ховрино;Петрозаводская улица, дом 9, корпус 2;37,494664;55,865081
125504;Северный административный округ;район Западное Дегунино;Коровинское шоссе, дом 1;37,543454;55,865332
109507;Юго-Восточный административный округ;район Выхино-Жулебино;Ферганский проезд, дом 14, корпус 3;37,817304;55,694053
117513;Юго-Западный административный округ;Обручевский район;Ленинский проспект, дом 135, корпус 2;37,477314;55,64198
129515;Северо-Восточный административный округ;Останкинский район;улица Академика Королёва, дом 9, корпус 1;37,623849;55,820949
115516;Южный административный округ;район Царицыно;Кавказский бульвар, дом 35/2, корпус 1;37,654847;55,627422
119517;Западный административный округ;район Очаково-Матвеевское;Матвеевская улица, дом 42, корпус 4;37,462479;55,707015
109518;Юго-Восточный административный округ;район Текстильщики;Грайвороновская улица, дом 14, корпус 1;37,732725;55,719273
117519;Южный административный округ;район Чертаново Центральное;Кировоградская улица, дом 17, корпус 1;37,603979;55,608671
127521;Северо-Восточный административный округ;район Марьина Роща;Октябрьская улица, дом 89;37,612282;55,796559
115522;Южный административный округ;район Царицыно;Пролетарский проспект, дом 6, корпус 1;37,655226;55,646555
105523;Восточный административный округ;район Северное Измайлово;Щёлковское шоссе, дом 84;37,818467;55,810894
111524;Восточный административный округ;район Перово;Перовская улица, дом 8, корпус 1;37,758554;55,746862
117525;Южный административный округ;район Чертаново Центральное;Чертановская улица, дом 32, строение 4;37,59285;55,618775
119526;Западный административный округ;район Тропарёво-Никулино;улица 26-ти Бакинских Комиссаров, дом 8, корпус 2;37,491334;55,659077
124527;Зеленоградский административный округ;район Старое Крюково;город Зеленоград, корпус 812;37,187947;55,9775
119530;Западный административный округ;район Очаково-Матвеевское;Очаковское шоссе, дом 13, корпус 2;37,454846;55,692907
111531;Восточный административный округ;район Ивановское;шоссе Энтузиастов, дом 98, строение 2;37,831535;55,773066
115533;Южный административный округ;район Нагатинский Затон;Нагатинская набережная, дом 14, корпус 6;37,649919;55,682122
117534;Южный административный округ;район Чертаново Южное;улица Академика Янгеля, дом 4, корпус 2;37,593856;55,59603
117535;Южный административный округ;район Чертаново Южное;Россошанская улица, дом 7, корпус 1Б;37,611285;55,594573
124536;Зеленоградский административный округ;район Савёлки;город Зеленоград, корпус 514;37,236483;55,997553
111537;Восточный административный округ;район Соколиная Гора;проспект Будённого, дом 23;37,728273;55,771114
111538;Восточный административный округ;район Вешняки;Вешняковская улица, дом 29;37,827933;55,724077
111539;Восточный административный округ;район Вешняки;Реутовская улица, дом 10;37,837321;55,737908
127540;Северный административный округ;район Восточное Дегунино;Дубнинская улица, дом 12, корпус 3;37,57075;55,865222
109542;Юго-Восточный административный округ;район Выхино-Жулебино;Рязанский проспект, дом 97;37,808859;55,714755
127543;Северо-Восточный административный округ;район Бибирево;улица Корнейчука, дом 44;37,632176;55,896932
109544;Центральный административный округ;Таганский район;Рабочая улица, дом 4;37,681205;55,74518
117545;Южный административный округ;район Чертаново Южное;улица Подольских Курсантов, дом 16, корпус 3;37,614908;55,606003
117546;Южный административный округ;район Бирюлёво Западное;Харьковская улица, дом 8, корпус 2;37,643392;55,588193
115547;Южный административный округ;район Бирюлёво Восточное;Загорьевский проезд, дом 9/12, строение 2;37,66789;55,573992
109548;Юго-Восточный административный округ;район Печатники;улица Гурьянова, дом 2, корпус 4;37,719664;55,693651
127549;Северо-Восточный административный округ;район Бибирево;Мурановская улица, дом 3;37,594965;55,890561
127550;Северный административный округ;Тимирязевский район;Дмитровское шоссе, дом 17, корпус 2;37,572807;55,820987
115551;Южный административный округ;район Орехово-Борисово Северное;Домодедовская улица, дом 20, корпус 3;37,702747;55,612266
121552;Западный административный округ;район Кунцево;Ярцевская улица, дом 29, корпус 3;37,418186;55,742911
107553;Восточный административный округ;район Преображенское;Большая Черкизовская улица, дом 30, корпус 1;37,740947;55,799553
105554;Восточный административный округ;район Восточное Измайлово;Нижняя Первомайская улица, дом 29/31;37,802606;55,791395
111555;Восточный административный округ;район Ивановское;улица Молостовых, дом 1Б;37,833233;55,764754
117556;Южный административный округ;Нагорный район;Фруктовая улица, дом 8, корпус 1, строение 2;37,616697;55,659973
123557;Центральный административный округ;Пресненский район;Малая Грузинская улица, дом 46;37,573284;55,770437
111558;Восточный административный округ;район Ивановское;улица Молостовых, дом 16, корпус 1;37,831348;55,751897
109559;Юго-Восточный административный округ;район Люблино;Совхозная улица, дом 12;37,76326;55,677403
127560;Северо-Восточный административный округ;район Бибирево;улица Плещеева, дом 3;37,608127;55,886
115561;Южный административный округ;район Орехово-Борисово Южное;Каширское шоссе, дом 142, корпус 3;37,720501;55,596949
127562;Северо-Восточный административный округ;район Отрадное;Алтуфьевское шоссе, дом 14;37,585818;55,855765
115563;Южный административный округ;район Орехово-Борисово Северное;Борисовский проезд, дом 11, корпус 1;37,720619;55,626562
107564;Восточный административный округ;район Богородское;Миллионная улица, дом 11, корпус 1;37,696502;55,816745
125565;Северный административный округ;Головинский район;Ленинградское шоссе, дом 84, корпус 2;37,475562;55,848747
127566;Северо-Восточный административный округ;район Отрадное;улица Римского-Корсакова, дом 8;37,596349;55,871699
105568;Восточный административный округ;район Ивановское;Челябинская улица, дом 7;37,825314;55,777104
115569;Южный административный округ;район Орехово-Борисово Северное;Шипиловская улица, дом 13, корпус 2;37,70634;55,618888
117570;Южный административный округ;район Чертаново Центральное;Чертановская улица, дом 45А;37,593213;55,606621
119571;Западный административный округ;район Тропарёво-Никулино;улица 26-ти Бакинских Комиссаров, дом 7, корпус 4;37,48544;55,657152
127572;Северо-Восточный административный округ;район Лианозово;Алтуфьевское шоссе, дом 97;37,585532;55,902846
115573;Южный административный округ;район Зябликово;Шипиловская улица, дом 50, корпус 3;37,737366;55,619717
117574;Юго-Западный административный округ;район Ясенево;Вильнюсская улица, дом 6;37,521319;55,604161
124575;Зеленоградский административный округ;район Силино;город Зеленоград, корпус 1006Б;37,176257;55,984366
127576;Северо-Восточный административный округ;район Лианозово;Абрамцевская улица, дом 3;37,573267;55,895758
111578;Восточный административный округ;район Ивановское;Саянская улица, дом 6А;37,826724;55,767125
115580;Южный административный округ;район Зябликово;Кустанайская улица, дом 10, корпус 3;37,75248;55,61731
125581;Северный административный округ;район Ховрино;улица Ляпидевского, дом 14;37,496337;55,857563
115582;Южный административный округ;район Орехово-Борисово Южное;Шипиловский проезд, дом 59, корпус 2;37,706661;55,606002
115583;Южный административный округ;район Орехово-Борисово Южное;Ясеневая улица, дом 19, корпус 1;37,730577;55,603526
117587;Южный административный округ;район Чертаново Северное;Варшавское шоссе, дом 128, корпус 1;37,613419;55,622885
117588;Юго-Западный административный округ;район Ясенево;Тарусская улица, дом 14/2, корпус 1;37,530297;55,60447
107589;Восточный административный округ;район Гольяново;Хабаровская улица, дом 14, корпус 1;37,826051;55,823203
119590;Западный административный округ;район Раменки;улица Довженко, дом 6;37,513571;55,721795
127591;Северный административный округ;район Восточное Дегунино;Дубнинская улица, дом 30, корпус 1;37,558686;55,880603
123592;Северо-Западный административный округ;район Строгино;Неманский проезд, дом 9;37,392532;55,810776
117593;Юго-Западный административный округ;район Ясенево;улица Рокотова, дом 2А;37,554902;55,612027
129594;Северо-Восточный административный округ;район Марьина Роща;2-я улица Марьиной Рощи, дом 22;37,620078;55,799696
121596;Западный административный округ;Можайский район;Барвихинская улица, дом 8;37,387763;55,716829
115597;Южный административный округ;район Орехово-Борисово Южное;Ясеневая улица, дом 36;37,742887;55,605472
115598;Южный административный округ;район Бирюлёво Восточное;Липецкая улица, дом 50;37,682296;55,579556
125599;Северный административный округ;район Западное Дегунино;улица Бусиновская Горка, дом 1, корпус 1;37,496169;55,880275
121601;Западный административный округ;район Филёвский Парк;Филёвский бульвар, дом 13;37,484891;55,763858
119602;Западный административный округ;район Тропарёво-Никулино;улица Мичуринский Проспект, Олимпийская Деревня, дом 3;37,467242;55,67625
119606;Западный административный округ;район Тропарёво-Никулино;проспект Вернадского, дом 84;37,476764;55,665149
119607;Западный административный округ;район Раменки;Мичуринский проспект, дом 47;37,481934;55,687244
121609;Западный административный округ;район Крылатское;Осенний бульвар, дом 11;37,40669;55,758733
123610;Центральный административный округ;Пресненский район;Краснопресненская набережная, дом 12;37,556339;55,754282
115612;Южный административный округ;район Братеево;Ключевая улица, дом 6, корпус 3;37,755771;55,636313
105613;Восточный административный округ;район Соколиная Гора;Измайловское шоссе, дом 71;37,747623;55,789537
121614;Западный административный округ;район Крылатское;улица Крылатские Холмы, дом 34;37,410678;55,764832
121615;Западный административный округ;район Кунцево;Рублёвское шоссе, дом 16, корпус 1;37,434345;55,740194
127616;Северный административный округ;Дмитровский район;Вагоноремонтная улица, дом 23;37,525378;55,89893
124617;Зеленоградский административный округ;район Крюково;город Зеленоград, корпус 1413;37,149551;55,986841
119618;Западный административный округ;район Солнцево;улица Богданова, дом 6;37,40113;55,655908
119619;Западный административный округ;район Солнцево;Боровский проезд, дом 14;37,385772;55,653989
119620;Западный административный округ;район Солнцево;Солнцевский проспект, дом 9;37,400925;55,650513
111621;Восточный административный округ;район Косино-Ухтомский;Оренбургская улица, дом 13, корпус 1;37,861104;55,713235
111622;Восточный административный округ;район Косино-Ухтомский;Оранжерейная улица, дом 14;37,864101;55,718119
117623;Юго-Западный административный округ;район Южное Бутово;2-я Мелитопольская улица, дом 3;37,573702;55,540059
117624;Юго-Западный административный округ;район Южное Бутово;Скобелевская улица, дом 23;37,557797;55,54616
111625;Восточный административный округ;район Косино-Ухтомский;улица Михельсона, дом 20;37,860358;55,702433
129626;Северо-Восточный административный округ;Алексеевский район;Новоалексеевская улица, дом 13;37,647181;55,810061
125627;Северо-Западный административный округ;район Митино;Митинская улица, дом 38;37,362978;55,846816
117628;Юго-Западный административный округ;район Северное Бутово;Куликовская улица, дом 1А;37,56661;55,573735
117630;Юго-Западный административный округ;Обручевский район;улица Академика Челомея, дом 4А;37,534026;55,662718
117632;Юго-Западный административный округ;район Тёплый Стан;Профсоюзная улица, дом 128, корпус 2;37,515322;55,630431
119633;Западный административный округ;район Ново-Переделкино;Новопеределкинская улица, дом 14;37,365671;55,642277
119634;Западный административный округ;район Ново-Переделкино;Боровское шоссе, дом 37, корпус 2;37,361213;55,639631
125635;Северный административный округ;район Западное Дегунино;Новая улица, дом 10;37,627152;55,757973
117638;Южный административный округ;Нагорный район;Криворожская улица, дом 23, корпус 1;37,610666;55,668257
117639;Южный административный округ;Нагорный район;Балаклавский проспект, дом 6Б;37,614412;55,641802
127641;Северо-Восточный административный округ;район Отрадное;улица Санникова, дом 13;37,597887;55,862005
127642;Северо-Восточный административный округ;район Южное Медведково;проезд Дежнёва, дом 2А;37,651186;55,872175
127644;Северный административный округ;Дмитровский район;Клязьминская улица, дом 19;37,528809;55,891601
117647;Юго-Западный административный округ;район Коньково;улица Академика Капицы, дом 20, корпус 1;37,525621;55,626001
117648;Южный административный округ;район Чертаново Северное;микрорайон Северное Чертаново, дом 2, корпус 202;37,599826;55,6385
109649;Юго-Восточный административный округ;район Капотня;5-й квартал Капотня, дом 24;37,798656;55,630564
109651;Юго-Восточный административный округ;район Марьино;Новочеркасский бульвар, дом 5;37,720248;55,64764
109652;Юго-Восточный административный округ;район Марьино;Новомарьинская улица, дом 4;37,749052;55,651113
111672;Восточный административный округ;район Новокосино;Салтыковская улица, дом 27;37,872684;55,739099
111673;Восточный административный округ;район Новокосино;Суздальская улица, дом 16А;37,848243;55,741378
111674;Юго-Восточный административный округ;район Некрасовка;1-я Вольская улица, дом 22, корпус 1;37,926576;55,683134
111675;Восточный административный округ;район Косино-Ухтомский;Лухмановская улица, дом 17, корпус 1;37,895634;55,722648
117676;Южный административный округ;район Чертаново Северное;Варшавское шоссе, дом 125, строение 39;37,620803;55,626216
105679;Восточный административный округ;район Соколиная Гора;Измайловское шоссе, дом 44;37,733738;55,779395
124681;Зеленоградский административный округ;район Крюково;Заводская улица, дом 10;37,177256;55,976531
115682;Южный административный округ;район Зябликово;Задонский проезд, дом 36, корпус 2;37,758024;55,620199
124683;Зеленоградский административный округ;район Крюково;город Зеленоград, корпус 1515;37,155584;55,983178
